"([[0, 16], [416, 16], [416, 72], [0, 72]], '216414682940740', 0.9834280757737354)"
"([[16, 18], [372, 18], [372, 68], [16, 68]], '216414682940740', 0.7850526818236051)"
"([[9, 13], [315, 13], [315, 57], [9, 57]], '21641,4532940740', 0.9154641256410332)"
"([[12, 11], [366, 11], [366, 65], [12, 65]], '216414582940740', 0.9909954569699946)"
"([[6, 11], [290, 11], [290, 61], [6, 61]], '21641 4682940740', 0.5748230507736967)"
"([[1, 13], [337, 13], [337, 57], [1, 57]], '216414682940740', 0.7661383717733512)"
"([[55, 39], [425, 39], [425, 103], [55, 103]], '0120 63556 5590', 0.9280335657331426)"
"([[0, 12], [350, 12], [350, 60], [0, 60]], '216414682940740', 0.8704406274139631)"
"([[1, 11], [279, 11], [279, 47], [1, 47]], '216414682940740', 0.8306090518112716)"
"([[1, 11], [279, 11], [279, 47], [1, 47]], '216414682940740', 0.8306090518112716)"
"([[1, 13], [337, 13], [337, 57], [1, 57]], '216414682940740', 0.7661383717733512)"
"([[1, 13], [337, 13], [337, 57], [1, 57]], '216414682940740', 0.7661383717733512)"
"([[1, 11], [279, 11], [279, 47], [1, 47]], '216414682940740', 0.8306090518112716)"
"([[1, 11], [279, 11], [279, 47], [1, 47]], '216414682940740', 0.8306090518112716)"
"([[1, 11], [279, 11], [279, 47], [1, 47]], '216414682940740', 0.8306090518112716)"
"([[1, 11], [279, 11], [279, 47], [1, 47]], '216414682940740', 0.8306090518112716)"
"([[1, 11], [279, 11], [279, 47], [1, 47]], '216414682940740', 0.8306090518112716)"
"([[1, 11], [279, 11], [279, 47], [1, 47]], '216414682940740', 0.8306090518112716)"
"([[1, 11], [279, 11], [279, 47], [1, 47]], '216414682940740', 0.8306090518112716)"
"([[1, 13], [337, 13], [337, 57], [1, 57]], '216414682940740', 0.7661383717733512)"
"([[1, 13], [337, 13], [337, 57], [1, 57]], '216414682940740', 0.7661383717733512)"
"([[1, 13], [337, 13], [337, 57], [1, 57]], '216414682940740', 0.7661383717733512)"
"([[1, 13], [337, 13], [337, 57], [1, 57]], '216414682940740', 0.7661383717733512)"
"([[6, 11], [290, 11], [290, 61], [6, 61]], '21641 4682940740', 0.5748230507736967)"
"([[1, 13], [337, 13], [337, 57], [1, 57]], '216414682940740', 0.7661383717733512)"
"([[1, 13], [337, 13], [337, 57], [1, 57]], '216414682940740', 0.7661383717733512)"
"([[1, 13], [337, 13], [337, 57], [1, 57]], '216414682940740', 0.7661383717733512)"
"([[0, 12], [350, 12], [350, 60], [0, 60]], '216414682940740', 0.8704406274139631)"
"([[0, 12], [358, 12], [358, 62], [0, 62]], '216414682940740', 0.9187088337679422)"
"([[1, 13], [337, 13], [337, 57], [1, 57]], '216414682940740', 0.7661383717733512)"
"([[1, 13], [337, 13], [337, 57], [1, 57]], '216414682940740', 0.7661383717733512)"
"([[1, 13], [337, 13], [337, 57], [1, 57]], '216414682940740', 0.7661383717733512)"
